Paths,Labels
Dataset\black\002500.jpg,black
Dataset\year\020112.jpg,year
Dataset\year\019729.jpg,year
Dataset\cousin\009332.jpg,cousin
Dataset\walk\017967.jpg,walk
Dataset\deaf\009900.jpg,deaf
Dataset\yes\021814.jpg,yes
Dataset\fine\012413.jpg,fine
Dataset\all\000053.jpg,all
Dataset\candy\005273.jpg,candy
Dataset\drink\012280.jpg,drink
Dataset\year\019631.jpg,year
Dataset\black\002575.jpg,black
Dataset\thin\016218.jpg,thin
Dataset\cousin\009279.jpg,cousin
Dataset\walk\016946.jpg,walk
Dataset\book\004221.jpg,book
Dataset\chair\005862.jpg,chair
Dataset\drink\010747.jpg,drink
Dataset\walk\017505.jpg,walk
Dataset\computer\007846.jpg,computer
Dataset\fine\013104.jpg,fine
Dataset\no\015656.jpg,no
Dataset\year\020529.jpg,year
Dataset\thin\015981.jpg,thin
Dataset\cousin\009203.jpg,cousin
Dataset\drink\010512.jpg,drink
Dataset\yes\021953.jpg,yes
Dataset\year\020552.jpg,year
Dataset\before\001406.jpg,before
Dataset\before\001866.jpg,before
Dataset\book\004090.jpg,book
Dataset\go\013815.jpg,go
Dataset\computer\008204.jpg,computer
Dataset\yes\021151.jpg,yes
Dataset\help\014426.jpg,help
Dataset\year\020020.jpg,year
Dataset\thin\016065.jpg,thin
Dataset\who\018867.jpg,who
Dataset\book\003602.jpg,book
Dataset\drink\010514.jpg,drink
Dataset\year\019991.jpg,year
Dataset\who\018895.jpg,who
Dataset\walk\018119.jpg,walk
Dataset\fine\012938.jpg,fine
Dataset\help\014004.jpg,help
Dataset\fine\012464.jpg,fine
Dataset\book\002924.jpg,book
Dataset\before\000889.jpg,before
Dataset\before\001065.jpg,before
Dataset\year\020695.jpg,year
Dataset\walk\017473.jpg,walk
Dataset\fine\012635.jpg,fine
Dataset\no\015714.jpg,no
Dataset\who\018634.jpg,who
Dataset\computer\007285.jpg,computer
Dataset\fine\012701.jpg,fine
Dataset\chair\006107.jpg,chair
Dataset\before\001772.jpg,before
Dataset\cousin\008866.jpg,cousin
Dataset\chair\006316.jpg,chair
Dataset\computer\007812.jpg,computer
Dataset\help\013895.jpg,help
Dataset\drink\011016.jpg,drink
Dataset\no\015448.jpg,no
Dataset\computer\007460.jpg,computer
Dataset\all\000333.jpg,all
Dataset\book\003990.jpg,book
Dataset\who\018516.jpg,who
Dataset\all\000684.jpg,all
Dataset\book\003866.jpg,book
Dataset\book\003693.jpg,book
Dataset\clothes\006867.jpg,clothes
Dataset\yes\021928.jpg,yes
Dataset\before\001599.jpg,before
Dataset\black\002195.jpg,black
Dataset\yes\021901.jpg,yes
Dataset\computer\007478.jpg,computer
Dataset\walk\016917.jpg,walk
Dataset\clothes\006735.jpg,clothes
Dataset\walk\017177.jpg,walk
Dataset\walk\017499.jpg,walk
Dataset\deaf\010283.jpg,deaf
Dataset\thin\016070.jpg,thin
Dataset\black\002300.jpg,black
Dataset\walk\017951.jpg,walk
Dataset\candy\004468.jpg,candy
Dataset\deaf\009548.jpg,deaf
Dataset\no\014740.jpg,no
Dataset\help\014439.jpg,help
Dataset\candy\005170.jpg,candy
Dataset\book\004247.jpg,book
Dataset\computer\007892.jpg,computer
Dataset\chair\005632.jpg,chair
Dataset\deaf\010232.jpg,deaf
Dataset\help\013858.jpg,help
Dataset\thin\016554.jpg,thin
Dataset\thin\016113.jpg,thin
Dataset\help\013943.jpg,help
Dataset\who\019135.jpg,who
Dataset\thin\016085.jpg,thin
Dataset\computer\008009.jpg,computer
Dataset\thin\016751.jpg,thin
Dataset\before\001684.jpg,before
Dataset\candy\004715.jpg,candy
Dataset\yes\021837.jpg,yes
Dataset\year\019662.jpg,year
Dataset\thin\016209.jpg,thin
Dataset\cousin\008547.jpg,cousin
Dataset\all\000579.jpg,all
Dataset\help\014106.jpg,help
Dataset\walk\017768.jpg,walk
Dataset\all\000335.jpg,all
Dataset\computer\008345.jpg,computer
Dataset\clothes\006815.jpg,clothes
Dataset\yes\021775.jpg,yes
Dataset\drink\011900.jpg,drink
Dataset\help\014488.jpg,help
Dataset\candy\004586.jpg,candy
Dataset\deaf\009579.jpg,deaf
Dataset\chair\005724.jpg,chair
Dataset\year\019853.jpg,year
Dataset\book\004307.jpg,book
Dataset\cousin\008869.jpg,cousin
Dataset\drink\011147.jpg,drink
Dataset\clothes\007251.jpg,clothes
Dataset\all\000677.jpg,all
Dataset\walk\017486.jpg,walk
Dataset\candy\005103.jpg,candy
Dataset\help\014146.jpg,help
Dataset\yes\021919.jpg,yes
Dataset\who\018679.jpg,who
Dataset\drink\010754.jpg,drink
Dataset\drink\011316.jpg,drink
Dataset\all\000783.jpg,all
Dataset\book\003337.jpg,book
Dataset\before\002056.jpg,before
Dataset\drink\012291.jpg,drink
Dataset\fine\012377.jpg,fine
Dataset\before\001797.jpg,before
Dataset\no\015348.jpg,no
Dataset\year\020318.jpg,year
Dataset\who\018977.jpg,who
Dataset\drink\011813.jpg,drink
Dataset\thin\016651.jpg,thin
Dataset\fine\013095.jpg,fine
Dataset\cousin\008798.jpg,cousin
Dataset\fine\012841.jpg,fine
Dataset\all\000184.jpg,all
Dataset\walk\017923.jpg,walk
Dataset\book\003167.jpg,book
Dataset\book\004062.jpg,book
Dataset\black\002298.jpg,black
Dataset\drink\012212.jpg,drink
Dataset\who\019444.jpg,who
Dataset\walk\017895.jpg,walk
Dataset\book\002837.jpg,book
Dataset\help\014195.jpg,help
Dataset\year\019777.jpg,year
Dataset\drink\010882.jpg,drink
Dataset\candy\005050.jpg,candy
Dataset\walk\016950.jpg,walk
Dataset\year\020750.jpg,year
Dataset\before\001956.jpg,before
Dataset\walk\017547.jpg,walk
Dataset\drink\010960.jpg,drink
Dataset\thin\016630.jpg,thin
Dataset\help\013989.jpg,help
Dataset\no\015376.jpg,no
Dataset\computer\007290.jpg,computer
Dataset\deaf\009983.jpg,deaf
Dataset\yes\021608.jpg,yes
Dataset\help\014199.jpg,help
Dataset\clothes\007121.jpg,clothes
Dataset\no\015259.jpg,no
Dataset\no\014986.jpg,no
Dataset\all\000534.jpg,all
Dataset\year\020073.jpg,year
Dataset\who\019391.jpg,who
Dataset\all\000470.jpg,all
Dataset\year\020921.jpg,year
Dataset\drink\011588.jpg,drink
Dataset\black\002743.jpg,black
Dataset\year\020478.jpg,year
Dataset\chair\006142.jpg,chair
Dataset\book\003762.jpg,book
Dataset\fine\013016.jpg,fine
Dataset\drink\011552.jpg,drink
Dataset\walk\018000.jpg,walk
Dataset\thin\016452.jpg,thin
Dataset\drink\012305.jpg,drink
Dataset\chair\005707.jpg,chair
Dataset\candy\004735.jpg,candy
Dataset\computer\008157.jpg,computer
Dataset\before\001267.jpg,before
Dataset\thin\016311.jpg,thin
Dataset\year\020348.jpg,year
Dataset\cousin\008916.jpg,cousin
Dataset\computer\008328.jpg,computer
Dataset\computer\008346.jpg,computer
Dataset\yes\021349.jpg,yes
Dataset\clothes\007114.jpg,clothes
Dataset\book\003781.jpg,book
Dataset\no\015341.jpg,no
Dataset\chair\005761.jpg,chair
Dataset\drink\010449.jpg,drink
Dataset\no\015533.jpg,no
Dataset\computer\007949.jpg,computer
Dataset\candy\005332.jpg,candy
Dataset\thin\016811.jpg,thin
Dataset\candy\005344.jpg,candy
Dataset\year\020929.jpg,year
Dataset\yes\022076.jpg,yes
Dataset\drink\011800.jpg,drink
Dataset\before\001567.jpg,before
Dataset\walk\017400.jpg,walk
Dataset\go\013759.jpg,go
Dataset\year\019883.jpg,year
Dataset\drink\011264.jpg,drink
Dataset\candy\004515.jpg,candy
Dataset\year\020521.jpg,year
Dataset\cousin\009238.jpg,cousin
Dataset\drink\012035.jpg,drink
Dataset\deaf\010361.jpg,deaf
Dataset\drink\011801.jpg,drink
Dataset\cousin\009048.jpg,cousin
Dataset\who\019140.jpg,who
Dataset\yes\021153.jpg,yes
Dataset\before\001545.jpg,before
Dataset\help\013926.jpg,help
Dataset\go\013496.jpg,go
Dataset\black\002605.jpg,black
Dataset\drink\011196.jpg,drink
Dataset\chair\005668.jpg,chair
Dataset\book\003178.jpg,book
Dataset\black\002800.jpg,black
Dataset\candy\005340.jpg,candy
Dataset\year\020209.jpg,year
Dataset\book\002901.jpg,book
Dataset\before\001282.jpg,before
Dataset\black\002567.jpg,black
Dataset\year\020595.jpg,year
Dataset\chair\006176.jpg,chair
Dataset\drink\010878.jpg,drink
Dataset\fine\012986.jpg,fine
Dataset\black\002472.jpg,black
Dataset\yes\021324.jpg,yes
Dataset\yes\022095.jpg,yes
Dataset\chair\005588.jpg,chair
Dataset\no\014682.jpg,no
Dataset\candy\005220.jpg,candy
Dataset\help\014056.jpg,help
Dataset\drink\010735.jpg,drink
Dataset\chair\006374.jpg,chair
Dataset\no\015140.jpg,no
Dataset\computer\007722.jpg,computer
Dataset\deaf\010276.jpg,deaf
Dataset\yes\021794.jpg,yes
Dataset\no\014970.jpg,no
Dataset\chair\006321.jpg,chair
Dataset\help\014354.jpg,help
Dataset\who\018684.jpg,who
Dataset\who\019276.jpg,who
Dataset\book\004127.jpg,book
Dataset\thin\016584.jpg,thin
Dataset\clothes\007198.jpg,clothes
Dataset\drink\010937.jpg,drink
Dataset\drink\012274.jpg,drink
Dataset\book\003600.jpg,book
Dataset\fine\012695.jpg,fine
Dataset\who\019162.jpg,who
Dataset\thin\016848.jpg,thin
Dataset\cousin\009100.jpg,cousin
Dataset\book\004295.jpg,book
Dataset\computer\007977.jpg,computer
Dataset\deaf\009607.jpg,deaf
Dataset\cousin\008500.jpg,cousin
Dataset\go\013575.jpg,go
Dataset\year\019940.jpg,year
Dataset\no\015545.jpg,no
Dataset\book\004094.jpg,book
Dataset\computer\007583.jpg,computer
Dataset\year\020879.jpg,year
Dataset\book\004040.jpg,book
Dataset\thin\015945.jpg,thin
Dataset\who\019107.jpg,who
Dataset\yes\021708.jpg,yes
Dataset\book\003403.jpg,book
Dataset\no\015565.jpg,no
Dataset\book\003915.jpg,book
Dataset\year\020801.jpg,year
Dataset\walk\017461.jpg,walk
Dataset\drink\011974.jpg,drink
Dataset\deaf\009855.jpg,deaf
Dataset\deaf\010022.jpg,deaf
Dataset\deaf\009887.jpg,deaf
Dataset\black\002345.jpg,black
Dataset\book\003077.jpg,book
Dataset\year\019698.jpg,year
Dataset\chair\005606.jpg,chair
Dataset\who\019460.jpg,who
Dataset\fine\012426.jpg,fine
Dataset\chair\006324.jpg,chair
Dataset\who\018708.jpg,who
Dataset\walk\017888.jpg,walk
Dataset\fine\013055.jpg,fine
Dataset\yes\021150.jpg,yes
Dataset\book\003987.jpg,book
Dataset\help\014000.jpg,help
Dataset\cousin\008951.jpg,cousin
Dataset\computer\007659.jpg,computer
Dataset\thin\016829.jpg,thin
Dataset\computer\008046.jpg,computer
Dataset\walk\017599.jpg,walk
Dataset\book\003825.jpg,book
Dataset\computer\007529.jpg,computer
Dataset\clothes\007201.jpg,clothes
Dataset\thin\016743.jpg,thin
Dataset\clothes\007088.jpg,clothes
Dataset\no\014616.jpg,no
Dataset\all\000246.jpg,all
Dataset\yes\021113.jpg,yes
Dataset\year\020974.jpg,year
Dataset\all\000158.jpg,all
Dataset\fine\012697.jpg,fine
Dataset\all\000189.jpg,all
Dataset\book\003578.jpg,book
Dataset\black\002494.jpg,black
Dataset\black\002189.jpg,black
Dataset\chair\006210.jpg,chair
Dataset\chair\005857.jpg,chair
Dataset\before\001860.jpg,before
Dataset\before\001144.jpg,before
Dataset\computer\007793.jpg,computer
Dataset\walk\017780.jpg,walk
Dataset\yes\021783.jpg,yes
Dataset\chair\006115.jpg,chair
Dataset\who\019572.jpg,who
Dataset\yes\021906.jpg,yes
Dataset\cousin\008661.jpg,cousin
Dataset\book\004067.jpg,book
Dataset\no\015472.jpg,no
Dataset\clothes\007186.jpg,clothes
Dataset\go\013521.jpg,go
Dataset\go\013720.jpg,go
Dataset\cousin\009154.jpg,cousin
Dataset\walk\016954.jpg,walk
Dataset\book\003014.jpg,book
Dataset\fine\012671.jpg,fine
Dataset\go\013557.jpg,go
Dataset\computer\008338.jpg,computer
Dataset\drink\010985.jpg,drink
Dataset\yes\021730.jpg,yes
Dataset\thin\015919.jpg,thin
Dataset\walk\016953.jpg,walk
Dataset\walk\017386.jpg,walk
Dataset\year\019948.jpg,year
Dataset\chair\005964.jpg,chair
Dataset\walk\017325.jpg,walk
Dataset\chair\005631.jpg,chair
Dataset\help\014373.jpg,help
Dataset\before\001554.jpg,before
Dataset\walk\016878.jpg,walk
Dataset\no\014575.jpg,no
Dataset\walk\018244.jpg,walk
Dataset\book\003640.jpg,book
Dataset\clothes\007246.jpg,clothes
Dataset\all\000429.jpg,all
Dataset\computer\007570.jpg,computer
Dataset\thin\016559.jpg,thin
Dataset\year\019753.jpg,year
Dataset\thin\016058.jpg,thin
Dataset\book\003583.jpg,book
Dataset\candy\004572.jpg,candy
Dataset\drink\012189.jpg,drink
Dataset\drink\011406.jpg,drink
Dataset\drink\011991.jpg,drink
Dataset\drink\011807.jpg,drink
Dataset\black\002360.jpg,black
Dataset\all\000674.jpg,all
Dataset\cousin\008507.jpg,cousin
Dataset\drink\012137.jpg,drink
Dataset\thin\016631.jpg,thin
Dataset\cousin\008467.jpg,cousin
Dataset\drink\010599.jpg,drink
Dataset\go\013558.jpg,go
Dataset\black\002821.jpg,black
Dataset\drink\011765.jpg,drink
Dataset\clothes\007069.jpg,clothes
Dataset\deaf\009893.jpg,deaf
Dataset\year\020777.jpg,year
Dataset\black\002792.jpg,black
Dataset\all\000389.jpg,all
Dataset\no\015607.jpg,no
Dataset\yes\021041.jpg,yes
Dataset\yes\021974.jpg,yes
Dataset\yes\022050.jpg,yes
Dataset\walk\017655.jpg,walk
Dataset\walk\017838.jpg,walk
Dataset\before\001327.jpg,before
Dataset\cousin\009116.jpg,cousin
Dataset\clothes\006898.jpg,clothes
Dataset\help\014068.jpg,help
Dataset\walk\018079.jpg,walk
Dataset\chair\005895.jpg,chair
Dataset\walk\017517.jpg,walk
Dataset\before\000916.jpg,before
Dataset\fine\013116.jpg,fine
Dataset\no\015457.jpg,no
Dataset\drink\011365.jpg,drink
Dataset\before\001651.jpg,before
Dataset\walk\017008.jpg,walk
Dataset\help\014172.jpg,help
Dataset\computer\008179.jpg,computer
Dataset\candy\005249.jpg,candy
Dataset\candy\004456.jpg,candy
Dataset\computer\007749.jpg,computer
Dataset\deaf\010129.jpg,deaf
Dataset\all\000436.jpg,all
Dataset\fine\012737.jpg,fine
Dataset\year\020609.jpg,year
Dataset\drink\010766.jpg,drink
Dataset\computer\007431.jpg,computer
Dataset\no\014625.jpg,no
Dataset\deaf\010145.jpg,deaf
Dataset\clothes\006542.jpg,clothes
Dataset\candy\004624.jpg,candy
Dataset\help\014134.jpg,help
Dataset\clothes\006642.jpg,clothes
Dataset\year\020082.jpg,year
Dataset\black\002563.jpg,black
Dataset\year\020704.jpg,year
Dataset\yes\021035.jpg,yes
Dataset\book\003199.jpg,book
Dataset\drink\011586.jpg,drink
Dataset\walk\017350.jpg,walk
Dataset\who\019023.jpg,who
Dataset\computer\008123.jpg,computer
Dataset\who\019338.jpg,who
Dataset\chair\006445.jpg,chair
Dataset\help\014108.jpg,help
Dataset\cousin\008558.jpg,cousin
Dataset\who\018852.jpg,who
Dataset\deaf\010222.jpg,deaf
Dataset\computer\007322.jpg,computer
Dataset\help\013994.jpg,help
Dataset\drink\010563.jpg,drink
Dataset\drink\012170.jpg,drink
Dataset\all\000532.jpg,all
Dataset\cousin\008728.jpg,cousin
Dataset\year\019693.jpg,year
Dataset\chair\006114.jpg,chair
Dataset\walk\017181.jpg,walk
Dataset\go\013587.jpg,go
Dataset\computer\007783.jpg,computer
Dataset\cousin\009021.jpg,cousin
Dataset\yes\022000.jpg,yes
Dataset\who\018606.jpg,who
Dataset\year\019844.jpg,year
Dataset\fine\012844.jpg,fine
Dataset\fine\012971.jpg,fine
Dataset\go\013431.jpg,go
Dataset\computer\007607.jpg,computer
Dataset\candy\005029.jpg,candy
Dataset\fine\012903.jpg,fine
Dataset\walk\017437.jpg,walk
Dataset\all\000281.jpg,all
Dataset\help\014404.jpg,help
Dataset\drink\011185.jpg,drink
Dataset\before\001669.jpg,before
Dataset\yes\021437.jpg,yes
Dataset\no\015438.jpg,no
Dataset\year\019636.jpg,year
Dataset\chair\005542.jpg,chair
Dataset\no\015673.jpg,no
Dataset\before\001644.jpg,before
Dataset\who\019575.jpg,who
Dataset\help\014469.jpg,help
Dataset\before\001890.jpg,before
Dataset\walk\017671.jpg,walk
Dataset\walk\017640.jpg,walk
Dataset\no\014796.jpg,no
Dataset\no\015358.jpg,no
Dataset\book\003595.jpg,book
Dataset\fine\012383.jpg,fine
Dataset\computer\007328.jpg,computer
Dataset\thin\016793.jpg,thin
Dataset\book\002997.jpg,book
Dataset\no\014635.jpg,no
Dataset\candy\004502.jpg,candy
Dataset\no\014841.jpg,no
Dataset\thin\015839.jpg,thin
Dataset\yes\021455.jpg,yes
Dataset\chair\005735.jpg,chair
Dataset\yes\021513.jpg,yes
Dataset\year\020263.jpg,year
Dataset\book\003194.jpg,book
Dataset\year\019859.jpg,year
Dataset\year\020062.jpg,year
Dataset\who\019242.jpg,who
Dataset\year\020196.jpg,year
Dataset\fine\012354.jpg,fine
Dataset\cousin\009251.jpg,cousin
Dataset\no\015558.jpg,no
Dataset\all\000576.jpg,all
Dataset\deaf\010077.jpg,deaf
Dataset\before\001353.jpg,before
Dataset\book\003903.jpg,book
Dataset\who\018742.jpg,who
Dataset\clothes\007062.jpg,clothes
Dataset\thin\016208.jpg,thin
Dataset\no\014827.jpg,no
Dataset\book\004155.jpg,book
Dataset\go\013399.jpg,go
Dataset\yes\021890.jpg,yes
Dataset\chair\005806.jpg,chair
Dataset\all\000506.jpg,all
Dataset\book\002858.jpg,book
Dataset\deaf\010312.jpg,deaf
Dataset\before\001433.jpg,before
Dataset\chair\005835.jpg,chair
Dataset\candy\004555.jpg,candy
Dataset\drink\011628.jpg,drink
Dataset\clothes\006557.jpg,clothes
Dataset\drink\011409.jpg,drink
Dataset\no\014906.jpg,no
Dataset\year\020281.jpg,year
Dataset\thin\016505.jpg,thin
Dataset\help\014207.jpg,help
Dataset\book\003372.jpg,book
Dataset\yes\021699.jpg,yes
Dataset\book\004368.jpg,book
Dataset\computer\007859.jpg,computer
Dataset\fine\012970.jpg,fine
Dataset\cousin\008615.jpg,cousin
Dataset\year\020425.jpg,year
Dataset\clothes\006832.jpg,clothes
Dataset\computer\007518.jpg,computer
Dataset\all\000611.jpg,all
Dataset\year\019999.jpg,year
Dataset\deaf\010300.jpg,deaf
Dataset\go\013299.jpg,go
Dataset\year\020640.jpg,year
Dataset\yes\021158.jpg,yes
Dataset\drink\011310.jpg,drink
Dataset\who\018409.jpg,who
Dataset\year\020902.jpg,year
Dataset\chair\005762.jpg,chair
Dataset\who\019355.jpg,who
Dataset\yes\021761.jpg,yes
Dataset\book\003449.jpg,book
Dataset\all\000549.jpg,all
Dataset\candy\004801.jpg,candy
Dataset\drink\010498.jpg,drink
Dataset\thin\016628.jpg,thin
Dataset\fine\012550.jpg,fine
Dataset\cousin\008914.jpg,cousin
Dataset\who\019203.jpg,who
Dataset\book\004013.jpg,book
Dataset\go\013748.jpg,go
Dataset\yes\021261.jpg,yes
Dataset\book\003945.jpg,book
Dataset\deaf\010369.jpg,deaf
Dataset\book\004309.jpg,book
Dataset\book\002920.jpg,book
Dataset\book\003502.jpg,book
Dataset\year\020564.jpg,year
Dataset\year\019828.jpg,year
Dataset\candy\004661.jpg,candy
Dataset\thin\016373.jpg,thin
Dataset\chair\005870.jpg,chair
Dataset\year\020714.jpg,year
Dataset\who\018904.jpg,who
Dataset\computer\008230.jpg,computer
Dataset\fine\012369.jpg,fine
Dataset\fine\012833.jpg,fine
Dataset\all\000449.jpg,all
Dataset\walk\016875.jpg,walk
Dataset\who\018412.jpg,who
Dataset\computer\007412.jpg,computer
Dataset\drink\010568.jpg,drink
Dataset\cousin\008823.jpg,cousin
Dataset\before\002090.jpg,before
Dataset\drink\010983.jpg,drink
Dataset\cousin\008632.jpg,cousin
Dataset\deaf\010225.jpg,deaf
Dataset\who\018388.jpg,who
Dataset\help\014402.jpg,help
Dataset\computer\007536.jpg,computer
Dataset\cousin\008440.jpg,cousin
Dataset\who\019113.jpg,who
Dataset\chair\006444.jpg,chair
Dataset\computer\007366.jpg,computer
Dataset\year\020795.jpg,year
Dataset\before\001128.jpg,before
Dataset\who\018908.jpg,who
Dataset\candy\004408.jpg,candy
Dataset\before\001800.jpg,before
Dataset\deaf\010073.jpg,deaf
Dataset\cousin\008864.jpg,cousin
Dataset\black\002388.jpg,black
Dataset\yes\022001.jpg,yes
Dataset\drink\011338.jpg,drink
Dataset\drink\010575.jpg,drink
Dataset\no\015560.jpg,no
Dataset\no\015355.jpg,no
Dataset\no\015396.jpg,no
Dataset\clothes\006708.jpg,clothes
Dataset\walk\017220.jpg,walk
Dataset\candy\005016.jpg,candy
Dataset\yes\021423.jpg,yes
Dataset\year\020210.jpg,year
Dataset\chair\006067.jpg,chair
Dataset\walk\018150.jpg,walk
Dataset\clothes\007001.jpg,clothes
Dataset\book\003442.jpg,book
Dataset\thin\015755.jpg,thin
Dataset\computer\008252.jpg,computer
Dataset\drink\011119.jpg,drink
Dataset\yes\021161.jpg,yes
Dataset\yes\021550.jpg,yes
Dataset\computer\007817.jpg,computer
Dataset\thin\016440.jpg,thin
Dataset\candy\004385.jpg,candy
Dataset\chair\005759.jpg,chair
Dataset\book\004289.jpg,book
Dataset\clothes\006696.jpg,clothes
Dataset\drink\011213.jpg,drink
Dataset\drink\011314.jpg,drink
Dataset\cousin\009039.jpg,cousin
Dataset\year\020167.jpg,year
Dataset\computer\007803.jpg,computer
Dataset\clothes\007178.jpg,clothes
Dataset\no\014773.jpg,no
Dataset\computer\007444.jpg,computer
Dataset\book\003261.jpg,book
Dataset\who\019601.jpg,who
Dataset\computer\008337.jpg,computer
Dataset\who\018676.jpg,who
Dataset\deaf\009627.jpg,deaf
Dataset\drink\010642.jpg,drink
Dataset\walk\017711.jpg,walk
Dataset\candy\005071.jpg,candy
Dataset\thin\016742.jpg,thin
Dataset\book\002948.jpg,book
Dataset\chair\005860.jpg,chair
Dataset\book\002841.jpg,book
Dataset\who\019070.jpg,who
Dataset\thin\016659.jpg,thin
Dataset\deaf\009986.jpg,deaf
Dataset\black\002616.jpg,black
Dataset\thin\016471.jpg,thin
Dataset\drink\010467.jpg,drink
Dataset\all\000178.jpg,all
Dataset\no\015093.jpg,no
Dataset\year\019994.jpg,year
Dataset\book\003561.jpg,book
Dataset\help\014226.jpg,help
Dataset\who\019583.jpg,who
Dataset\drink\010529.jpg,drink
Dataset\book\004082.jpg,book
Dataset\before\001512.jpg,before
Dataset\deaf\009565.jpg,deaf
Dataset\deaf\009527.jpg,deaf
Dataset\chair\005859.jpg,chair
Dataset\year\019743.jpg,year
Dataset\walk\017548.jpg,walk
Dataset\book\003943.jpg,book
Dataset\computer\007827.jpg,computer
Dataset\walk\018251.jpg,walk
Dataset\deaf\009936.jpg,deaf
Dataset\clothes\007216.jpg,clothes
Dataset\cousin\009060.jpg,cousin
Dataset\fine\012739.jpg,fine
Dataset\year\020870.jpg,year
Dataset\yes\021037.jpg,yes
Dataset\cousin\009085.jpg,cousin
Dataset\year\020260.jpg,year
Dataset\thin\015940.jpg,thin
Dataset\all\000474.jpg,all
Dataset\drink\012311.jpg,drink
Dataset\yes\021832.jpg,yes
Dataset\clothes\007022.jpg,clothes
Dataset\deaf\009995.jpg,deaf
Dataset\before\001847.jpg,before
Dataset\thin\016068.jpg,thin
Dataset\yes\021806.jpg,yes
Dataset\deaf\009688.jpg,deaf
Dataset\go\013771.jpg,go
Dataset\drink\010580.jpg,drink
Dataset\cousin\008759.jpg,cousin
Dataset\go\013426.jpg,go
Dataset\before\001328.jpg,before
Dataset\drink\011308.jpg,drink
Dataset\book\003419.jpg,book
Dataset\chair\005826.jpg,chair
Dataset\drink\011223.jpg,drink
Dataset\before\001852.jpg,before
Dataset\clothes\007158.jpg,clothes
Dataset\who\019477.jpg,who
Dataset\deaf\009556.jpg,deaf
Dataset\chair\005848.jpg,chair
Dataset\before\001682.jpg,before
Dataset\before\001453.jpg,before
Dataset\thin\016613.jpg,thin
Dataset\all\000776.jpg,all
Dataset\before\002110.jpg,before
Dataset\walk\016883.jpg,walk
Dataset\drink\010821.jpg,drink
Dataset\drink\011606.jpg,drink
Dataset\walk\018205.jpg,walk
Dataset\fine\012865.jpg,fine
Dataset\before\001366.jpg,before
Dataset\book\002919.jpg,book
Dataset\who\019241.jpg,who
Dataset\who\019079.jpg,who
Dataset\candy\005097.jpg,candy
Dataset\cousin\008918.jpg,cousin
Dataset\go\013751.jpg,go
Dataset\clothes\006791.jpg,clothes
Dataset\cousin\008926.jpg,cousin
Dataset\all\000300.jpg,all
Dataset\before\001108.jpg,before
Dataset\who\018876.jpg,who
Dataset\all\000851.jpg,all
Dataset\who\018948.jpg,who
Dataset\help\014294.jpg,help
Dataset\deaf\009561.jpg,deaf
Dataset\deaf\009559.jpg,deaf
Dataset\black\002247.jpg,black
Dataset\cousin\009015.jpg,cousin
Dataset\thin\016149.jpg,thin
Dataset\book\003032.jpg,book
Dataset\drink\010425.jpg,drink
Dataset\before\001609.jpg,before
Dataset\chair\006384.jpg,chair
Dataset\chair\006087.jpg,chair
Dataset\year\020198.jpg,year
Dataset\no\015288.jpg,no
Dataset\all\000009.jpg,all
Dataset\help\014092.jpg,help
Dataset\thin\016079.jpg,thin
Dataset\walk\016919.jpg,walk
Dataset\no\014633.jpg,no
Dataset\drink\012327.jpg,drink
Dataset\book\004041.jpg,book
Dataset\chair\005659.jpg,chair
Dataset\thin\016835.jpg,thin
Dataset\computer\007792.jpg,computer
Dataset\no\015312.jpg,no
Dataset\help\014042.jpg,help
Dataset\cousin\008883.jpg,cousin
Dataset\no\015402.jpg,no
Dataset\year\020161.jpg,year
Dataset\cousin\008590.jpg,cousin
Dataset\drink\010954.jpg,drink
Dataset\candy\005102.jpg,candy
Dataset\book\003802.jpg,book
Dataset\walk\017368.jpg,walk
Dataset\book\003098.jpg,book
Dataset\drink\011499.jpg,drink
Dataset\drink\010500.jpg,drink
Dataset\fine\012554.jpg,fine
Dataset\drink\011770.jpg,drink
Dataset\deaf\010043.jpg,deaf
Dataset\candy\004788.jpg,candy
Dataset\no\014933.jpg,no
Dataset\who\018552.jpg,who
Dataset\yes\021891.jpg,yes
Dataset\drink\011956.jpg,drink
Dataset\no\015058.jpg,no
Dataset\drink\010936.jpg,drink
Dataset\book\003658.jpg,book
Dataset\book\003707.jpg,book
Dataset\before\001191.jpg,before
Dataset\help\013953.jpg,help
Dataset\deaf\010334.jpg,deaf
Dataset\cousin\008477.jpg,cousin
Dataset\yes\021937.jpg,yes
Dataset\walk\017492.jpg,walk
Dataset\drink\011296.jpg,drink
Dataset\drink\012240.jpg,drink
Dataset\drink\011729.jpg,drink
Dataset\yes\021740.jpg,yes
Dataset\drink\011867.jpg,drink
Dataset\chair\005974.jpg,chair
Dataset\walk\017866.jpg,walk
Dataset\year\020973.jpg,year
Dataset\fine\012592.jpg,fine
Dataset\book\003513.jpg,book
Dataset\thin\016342.jpg,thin
Dataset\chair\005633.jpg,chair
Dataset\drink\011251.jpg,drink
Dataset\candy\004914.jpg,candy
Dataset\no\015492.jpg,no
Dataset\computer\008342.jpg,computer
Dataset\year\020883.jpg,year
Dataset\no\015738.jpg,no
Dataset\thin\016140.jpg,thin
Dataset\go\013258.jpg,go
Dataset\chair\005787.jpg,chair
Dataset\no\015615.jpg,no
Dataset\cousin\008498.jpg,cousin
Dataset\no\014995.jpg,no
